is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,824.0,379000.0,53634334.0,2079.0,6288,9,1,45,1,10,4,49,1,1
1,13.0,24900.0,18951887.0,673.0,542,10,1,18,1,3,1,5,1,1
0,669.0,15200.0,10380744.0,1547.0,1396,6,0,54,1,10,2,49,0,1
0,871.0,144000.0,53910754.0,2626.0,1262,5,1,53,1,11,2,31,1,1
0,212.0,1420.0,4190737.0,28.0,943,8,1,54,1,23,4,2,1,1
0,2238.0,26300.0,25289520.0,5164.0,5116,6,0,18,1,3,3,36,1,1
1,20.0,1050000.0,565313936.0,840.0,3179,4,1,45,1,12,3,10,0,2
0,1051.0,524000.0,275585549.0,1623.0,4467,6,1,45,1,9,0,50,1,1
0,7300.0,462000.0,253543195.0,72820.0,5665,9,1,45,1,8,4,100,1,1
0,1638.0,317000.0,101378988.0,943.0,1935,6,1,45,1,10,0,51,1,1
0,39712.0,1220000.0,188074072.0,2109.0,1334,6,1,54,1,19,2,49,1,3
0,1016.0,192000.0,38158357.0,205.0,1300,6,1,45,1,2,6,37,0,1
0,574.0,52100.0,15407800.0,545.0,3431,6,0,45,1,9,5,30,1,1
0,956.0,57000.0,65647895.0,2634.0,2158,6,1,45,1,13,4,51,1,1
0,1405.0,326000.0,45910401.0,381.0,3486,6,1,54,1,13,5,40,1,1
0,482.0,172000.0,80656984.0,1155.0,1786,6,1,18,1,2,2,31,1,1
0,1478.0,226000.0,51993024.0,762.0,2938,6,1,45,1,11,6,34,1,1
0,595.0,607000.0,414292147.0,2369.0,4437,6,1,45,1,10,1,31,1,1
0,20467.0,17700.0,15955528.0,591.0,417,6,1,45,1,16,1,36,1,1
0,16948.0,1000000.0,856911466.0,5709.0,4223,6,0,54,1,11,6,37,0,1
0,811.0,195000.0,143449638.0,2610.0,4677,6,1,45,1,4,4,87,1,1
0,8519.0,332000.0,446697563.0,7378.0,4833,7,1,45,1,17,0,33,1,1
0,199.0,78100000.0,40605089267.0,2676.0,6442,8,1,41,1,15,1,37,1,3
0,40944.0,348000.0,219835876.0,8091.0,6423,14,1,45,1,11,6,45,1,3
0,198.0,123000.0,132787280.0,2670.0,1616,10,1,25,1,4,3,86,0,1
0,266.0,244000.0,237958391.0,97.0,5369,8,0,18,1,13,0,39,1,2
0,218.0,14100.0,11499093.0,81.0,2660,8,1,54,1,16,3,8,1,1
0,1605.0,123000.0,122008086.0,7883.0,5794,6,0,18,1,9,0,36,0,1
1,42.0,222000.0,158442848.0,23197.0,2832,4,1,45,1,8,5,59,1,1
0,10853.0,31500.0,614383.0,22.0,288,6,1,45,1,14,4,43,0,1
0,215.0,487.0,162437365.0,302.0,2986,8,1,54,1,10,3,7,1,1
0,30331.0,6810000.0,3010920669.0,7919.0,2347,6,1,54,0,15,5,59,1,3
0,632.0,269000.0,121530121.0,2944.0,5589,6,1,45,1,10,0,9,1,1
0,18360.0,194000.0,58568574.0,875.0,5202,6,0,18,1,19,6,73,0,1
1,60.0,2750000.0,1306516711.0,29717.0,5345,9,0,45,1,15,6,31,1,2
0,64.0,2740000.0,681533583.0,499.0,2184,6,1,53,1,16,5,60,1,2
0,543.0,64000.0,22010649.0,572.0,974,10,1,54,1,9,1,30,0,1
0,831.0,141000.0,43973482.0,1659.0,2522,6,1,45,1,11,0,50,1,1
0,572.0,84800.0,74652402.0,1905.0,5202,6,1,54,1,7,5,86,1,1
0,1084.0,195000.0,144802962.0,2644.0,4677,6,1,45,1,4,2,79,1,1
1,53.0,189000.0,33768014.0,142.0,2992,7,1,45,1,1,6,14,0,1
0,633.0,34600.0,5110353.0,217.0,3043,6,1,45,1,10,6,40,0,1
0,867.0,54300.0,54907422.0,784.0,3985,6,1,45,1,9,4,29,1,1
0,1284.0,78000.0,19523999.0,150.0,1710,6,1,45,1,13,6,19,1,1
0,267.0,55600.0,379505713.0,1432.0,4588,8,0,54,1,16,6,4,1,1
0,3549.0,326000.0,105738124.0,985.0,1935,6,1,45,1,10,6,68,1,1
0,1096.0,1500.0,832426.0,120.0,489,10,1,45,0,15,6,87,0,1
